iteration,true_reward,run_id,env_name,noiseE,grid_type,expert_trajs,max_iter_num,num_of_NNs,seed,eta,gamma,use_memory_replay,buffer_size,batch_size,log_dir
0,-11.899746462766956,20241021-142226,DiscreteGaussianGridworld-v0,0.0,1,assets/envDiscreteGaussianGridworld-v0type1noiseE0.0/expert_trajs/trajs16.pkl,100,1,123,10,0.99,True,200000.0,20000.0,runs_memory_replay
1,-5.460338817209952,20241021-142226,DiscreteGaussianGridworld-v0,0.0,1,assets/envDiscreteGaussianGridworld-v0type1noiseE0.0/expert_trajs/trajs16.pkl,100,1,123,10,0.99,True,200000.0,20000.0,runs_memory_replay
2,-19.017048617855497,20241021-142226,DiscreteGaussianGridworld-v0,0.0,1,assets/envDiscreteGaussianGridworld-v0type1noiseE0.0/expert_trajs/trajs16.pkl,100,1,123,10,0.99,True,200000.0,20000.0,runs_memory_replay
3,-9.376596679668918,20241021-142226,DiscreteGaussianGridworld-v0,0.0,1,assets/envDiscreteGaussianGridworld-v0type1noiseE0.0/expert_trajs/trajs16.pkl,100,1,123,10,0.99,True,200000.0,20000.0,runs_memory_replay
4,-2.979662012587732,20241021-142226,DiscreteGaussianGridworld-v0,0.0,1,assets/envDiscreteGaussianGridworld-v0type1noiseE0.0/expert_trajs/trajs16.pkl,100,1,123,10,0.99,True,200000.0,20000.0,runs_memory_replay
5,-6.955917296944859,20241021-142226,DiscreteGaussianGridworld-v0,0.0,1,assets/envDiscreteGaussianGridworld-v0type1noiseE0.0/expert_trajs/trajs16.pkl,100,1,123,10,0.99,True,200000.0,20000.0,runs_memory_replay
6,-9.821575625443877,20241021-142226,DiscreteGaussianGridworld-v0,0.0,1,assets/envDiscreteGaussianGridworld-v0type1noiseE0.0/expert_trajs/trajs16.pkl,100,1,123,10,0.99,True,200000.0,20000.0,runs_memory_replay
7,-10.201946878466943,20241021-142226,DiscreteGaussianGridworld-v0,0.0,1,assets/envDiscreteGaussianGridworld-v0type1noiseE0.0/expert_trajs/trajs16.pkl,100,1,123,10,0.99,True,200000.0,20000.0,runs_memory_replay
8,-11.409564274526142,20241021-142226,DiscreteGaussianGridworld-v0,0.0,1,assets/envDiscreteGaussianGridworld-v0type1noiseE0.0/expert_trajs/trajs16.pkl,100,1,123,10,0.99,True,200000.0,20000.0,runs_memory_replay
9,-10.688785307357,20241021-142226,DiscreteGaussianGridworld-v0,0.0,1,assets/envDiscreteGaussianGridworld-v0type1noiseE0.0/expert_trajs/trajs16.pkl,100,1,123,10,0.99,True,200000.0,20000.0,runs_memory_replay
10,-8.864833352959364,20241021-142226,DiscreteGaussianGridworld-v0,0.0,1,assets/envDiscreteGaussianGridworld-v0type1noiseE0.0/expert_trajs/trajs16.pkl,100,1,123,10,0.99,True,200000.0,20000.0,runs_memory_replay
